-33.392197,-70.543753,Av. Las Condes N° 9050
-33.378222,-70.528754,Av. Las Condes N° 11121
-33.370571,-70.51236,Av. Las Condes numero 12916
-33.371252,-70.514398,Av. Las Condes 12751
-33.372112,-70.517274,Av. Las Condes 12340
-33.376412,-70.528389,Av. Las Condes 12.145
-33.376699,-70.528239,Av. Las Condes 
-33.376645,-70.528239,Av. Las Condes 11336
-33.379763,-70.530256,Av. Las Condes 11049
-33.397751,-70.551477,Av. Las Condes  8231
-33.493934,-70.748201,Av. Kennedy N° 5601
-33.494041,-70.748351,Av. Kennedy N° 5413
-33.493397,-70.748437,Av. Kennedy 
-33.41629,-70.554653,Av. Kennedy 5741
-33.416434,-70.554438,Av. Iv Centenario 933
-33.431047,-70.576969,Av. Francisco Bilbao Nº 4144
-33.383687,-70.533753,Av. Estoril 100
-33.414338,-70.591818,Av. El Golf N° 125
-33.417007,-70.600036,Av. El Bosque Norte 058
-33.414517,-70.601452,Av. El Bosque Norte 0198
-33.416129,-70.554524,Av. Cuarto Centenario N° 914
-33.417096,-70.559052,Av. Colon 6720
-33.41638,-70.564953,Av. Colon 6084
-33.416362,-70.564867,Av. Colon 6071
-33.400546,-70.514313,Av. Camino El Alba 11969
-33.415538,-70.591431,Av. Apoquindo N°3365.Loc.2 
-33.415574,-70.591238,Av. Apoquindo N° 9085
-33.415556,-70.591474,Av. Apoquindo N° 9070
-33.416058,-70.5948,Av. Apoquindo N° 3400
-33.416237,-70.595744,Av. Apoquindo N° 3300
-33.408893,-70.567935,Av. Apoquindo 6005
-33.409072,-70.570532,Av. Apoquindo 5710
-33.417831,-70.601109,Av. Apoquindo 2705
-33.415305,-70.606581,Av. Andres Bello 2607
-33.428504,-70.574952,Av. Americo Vespucio Sur 1816
-33.425693,-70.577055,Av. Americo Vespucio Sur 1463
-33.410218,-70.573858,Apoquindo N° 5240
-33.416129,-70.595337,Apoquindo N° 3337
-33.410935,-70.576583,Apoquindo  N° 5020  Y  5024
-33.411902,-70.577398,Aponquindo N° 4400
-33.538801,-70.652822,Americo Vespucio 1040 Local13
-33.423418,-70.539804,Alexander Fleming N° 8898 
-33.43864,-70.557078,Principe De Gales N° 7215
-33.441057,-70.54328,Carlos Ossandon N° 1301
-33.4383,-70.558966,Av. Principe De Gales 7056
-33.452283,-70.562271,Av. Larrain 6563
-33.428433,-70.540534,Av. Francisco Bilbao Nº 8750
-33.546384,-70.587977,Vicuña Mackena 9779
-33.526191,-70.594071,Vicente Valdes N° 85
-33.519966,-70.599242,Serafin  Zamora 190
-33.553144,-70.601774,Santa Raquel 10390 
-33.543326,-70.564974,Santa Amalia N° 1763
-33.553198,-70.588706,San Jose De La Estrella N° 1189
-33.534634,-70.552014,Rojas Magallanes 3638
-33.527613,-70.579253,Geronimo De Alderete 1622
-33.510323,-70.608769,Cabildo N° 166
-33.510538,-70.608619,Av. Vicuña Mackenna Oriente 
-33.51027,-70.608769,Av. Vicuña Mackenna Oriente 6100
-33.507675,-70.614005,Av. Vicuña Mackenna 7304 
-33.483966,-70.620657,Av. Vicuña Mackenna 10373 
-33.484127,-70.620528,Av. Vic. Mackenna Oriente. 7385
-33.507729,-70.613919,Avenida  Vic. Mackenna Norte
-33.507675,-70.613876,Av. Vic. Mackenna Norte
-33.517211,-70.600217,Av. Vic. Mackenna Norte. 7110
-33.547547,-70.568193,Av. La Florida 9871
-33.53966,-70.571776,Av. La Florida 9385
-33.538265,-70.572012,Av. La Florida 1280
-33.53873,-70.571991,Av. La Florida  9363
-33.52519,-70.601624,Av. Americo Vespucio 7310
-33.537836,-70.664903,Gran Av. N° 8877
-33.532774,-70.663336,Gran Av. J.M. Carrera 8501
-33.517032,-70.65883,Gran Av. J.M. Carrera 6567
-33.517873,-70.659066,Gran Av. J.M. Carrera  6651
-33.531987,-70.6631,Gran Av. J M Carerra 8445
-33.42075,-70.653144,Sergio Livingston N° 964
-33.420589,-70.652929,Santos Dumont 
-33.420553,-70.652972,Santos Dumont 999
-33.41912,-70.65293,Calle Sergio Livingstone Nº 943
-33.417669,-70.650419,Av. La Paz 1090
-33.419837,-70.656105,Av. Independencia N° 902
-33.419819,-70.655847,Av. Independencia 932 
-33.41964,-70.663293,Av. Fermin Vivaceta 975
